"abundance","exp_mass","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag"
10809.8306125655,173.133141662188,8.51235,"C13H18","","CH",13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,174.140418114348,173.13357412204,-2.48339734494576,2.48,173,172.939819649508,0.0601803504916347,5,0,1.38461538461538,5,13.3954500441692,13,1,28,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
8841.57359016048,173.133187395609,3.83335,"C13H18","","CH",13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,174.140463847769,173.13357412204,-2.22077294633127,2.22,173,172.939865331863,0.0601346681369819,5,0,1.38461538461538,5,13.3954500441692,13,1,28,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
7368.05966538228,175.076078304543,5.71305,"C11H12O2","O2","CHO",11,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,176.083354756703,175.07645317524,-2.12893886269749,2.13,175,174.880586791451,0.119413208548906,6,0.181818181818182,1.09090909090909,4,13.5449022790308,13,1,24,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
7527.82153532356,175.076206372541,4.98481666666667,"C11H12O2","O2","CHO",11,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,176.083482824701,175.07645317524,-1.40162322460199,1.4,175,174.880714716447,0.119285283552756,6,0.181818181818182,1.09090909090909,4,13.5449022790308,13,1,24,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
7944.04545288041,175.076208952859,5.31366666666667,"C11H12O2","O2","CHO",11,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,176.083485405019,175.07645317524,-1.38696925751876,1.39,175,174.880717293884,0.119282706115968,6,0.181818181818182,1.09090909090909,4,13.5449022790308,13,1,24,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
16835.8497720596,175.076306251994,4.18865,"C11H12O2","O2","CHO",11,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,176.083582704154,175.07645317524,-0.834394914905772,0.83,175,174.880814484374,0.119185515626043,6,0.181818181818182,1.09090909090909,4,13.5449022790308,13,1,24,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
4967.6194922074,175.149020538681,3.53976666666667,"C13H20","","CH",13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,176.156296990841,175.14922418584,-1.15605949094437,1.16,175,174.953447577639,0.0465524223611737,4,0,1.53846153846154,4,13.5505000490769,13,1,28,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous"
1498426.16810759,177.055534492499,5.25195,"C10H10O3","O3","CHO",10,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,178.062810944659,177.05571773374,-1.0290820415895,1.03,177,176.857832700944,0.142167299056013,6,0.3,1,3,13.6971533989154,13,0.9,22,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
188495.965256824,177.05563786653,3.66581666666667,"C10H10O3","O3","CHO",10,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,178.06291431869,177.05571773374,-0.448533656345216,0.45,177,176.857935959547,0.142064040453363,6,0.3,1,3,13.6971533989154,13,0.9,22,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
1254683.01309002,177.055641772496,4.14456666666667,"C10H10O3","O3","CHO",10,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,178.062918224656,177.05571773374,-0.426597771053852,0.43,177,176.857939861151,0.142060138848819,6,0.3,1,3,13.6971533989154,13,0.9,22,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
